fighter_name,Height,Weight,Reach,Stance,DOB,KD,SIG_STR_pct,TD_pct,SUB_ATT,PASS,REV,SIG_STR._ATT,SIG_STR._LANDED,TOTAL_STR._ATT,TOTAL_STR._LANDED,TD_ATT,TD_LANDED,HEAD_ATT,HEAD_LANDED,BODY_ATT,BODY_LANDED,LEG_ATT,LEG_LANDED,DISTANCE_ATT,DISTANCE_LANDED,CLINCH_ATT,CLINCH_LANDED,GROUND_ATT,GROUND_LANDED,win_by,last_round,date,location,title_bout,weight_class,total_time_fought(sec),no_of_rounds,age,num_fights,win,num_wins,record,fight_rank
Danny Abbadi,71.0,155.0,72.68125,Orthodox,1983-07-03,0.0,0.38,0.0,0.0,0.0,0.0,146.0,56.0,173.0,79.0,0.0,0.0,137.0,49.0,9.0,7.0,0.0,0.0,122.0,41.0,20.0,12.0,4.0,3.0,Other,3.0,2006-09-23,0.0,0,Lightweight,900.0,3.0,23.22566514028351,2,0,0,0.0,2.0
Danny Abbadi,71.0,155.0,72.68125,Orthodox,1983-07-03,0.0,0.33,0.0,0.0,0.0,0.0,9.0,3.0,12.0,6.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,5.0,1.0,4.0,2.0,0.0,0.0,Submission,1.0,2006-06-24,1.0,0,Middleweight,176.0,3.0,22.976515602647556,2,0,0,0.0,1.0
David Abbott,72.0,265.0,73.75,Switch,,0.0,0.68,0.0,0.0,0.0,1.0,16.0,11.0,16.0,11.0,0.0,0.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,13.0,9.0,KO,1.0,1998-05-15,0.0,0,Heavyweight,43.0,2.0,29.848766940940852,18,1,8,0.4444444444444444,14.0
David Abbott,72.0,265.0,73.75,Switch,,0.0,0.41,0.75,0.0,1.0,0.0,31.0,13.0,90.0,69.0,4.0,3.0,31.0,13.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,19.0,7.0,Other,2.0,1997-12-21,0.0,0,Heavyweight,900.0,2.0,29.848766940940852,18,1,8,0.4444444444444444,13.0
David Abbott,72.0,265.0,73.75,Switch,,1.0,0.52,1.0,0.0,1.0,0.0,17.0,9.0,21.0,13.0,1.0,1.0,17.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,16.0,8.0,0.0,0.0,KO,1.0,1996-12-07,0.0,0,Open Weight,63.0,2.0,29.848766940940852,18,1,8,0.4444444444444444,8.0
David Abbott,72.0,265.0,73.75,Switch,,0.0,0.44,0.0,1.0,1.0,0.0,9.0,4.0,17.0,9.0,1.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0,3.0,KO,1.0,1996-12-07,0.0,0,Open Weight,171.0,2.0,29.848766940940852,18,1,8,0.4444444444444444,9.0
David Abbott,72.0,265.0,73.75,Switch,,0.0,0.88,1.0,1.0,1.0,0.0,9.0,8.0,17.0,16.0,1.0,1.0,6.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,Submission,1.0,1996-09-20,0.0,0,Open Weight,126.0,1.0,29.848766940940852,18,1,8,0.4444444444444444,6.0
David Abbott,72.0,265.0,73.75,Switch,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Submission,1.0,1995-12-16,0.0,0,Open Weight,74.0,1.0,29.848766940940852,18,1,8,0.4444444444444444,4.0
David Abbott,72.0,265.0,73.75,Switch,,0.0,0.66,1.0,0.0,1.0,0.0,21.0,14.0,25.0,18.0,1.0,1.0,20.0,13.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,13.0,KO,1.0,1995-07-14,0.0,0,Open Weight,113.0,1.0,29.848766940940852,18,1,8,0.4444444444444444,1.0
David Abbott,72.0,265.0,73.75,Switch,,2.0,0.58,0.0,0.0,0.0,0.0,12.0,7.0,12.0,7.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,5.0,1.0,KO,1.0,1995-07-14,0.0,0,Open Weight,20.0,1.0,29.848766940940852,18,1,8,0.4444444444444444,2.0
