R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country
Kamaru Usman,Gilbert Burns,-278,228,35.97122302,228,2/13/2021,"Las Vegas, Nevada, USA",USA
,,,FORMULA,35.97122302,228,,,
,,,(for winnings),,,,,
,,,,,,,,
Maycee Barber,Alexa Grasso,-107,-107,93.45794393,93.45794393,2/13/2021,"Las Vegas, Nevada, USA",USA
Kelvin Gastelum,Ian Heinisch,-205,174,48.7804878,174,2/13/2021,"Las Vegas, Nevada, USA",USA
Ricky Simon,Brian Kelleher,-253,210,39.5256917,210,2/13/2021,"Las Vegas, Nevada, USA",USA
Maki Pitolo,Julian Marquez,145,-177,145,56.49717514,2/13/2021,"Las Vegas, Nevada, USA",USA
Rodolfo Vieira,Anthony Hernandez,-487,365,20.5338809,365,2/13/2021,"Las Vegas, Nevada, USA",USA
Belal Muhammad,Dhiego Lima,-447,340,22.37136465,340,2/13/2021,"Las Vegas, Nevada, USA",USA
Polyana Viana,Mallory Martin,100,-115,100,86.95652174,2/13/2021,"Las Vegas, Nevada, USA",USA
Andre Ewell,Chris Gutierrez,112,-129,112,77.51937984,2/13/2021,"Las Vegas, Nevada, USA",USA
Gabe Green,Philip Rowe,-138,120,72.46376812,120,2/13/2021,"Las Vegas, Nevada, USA",USA
Gillian Robertson,Miranda Maverick,142,-165,142,60.60606061,2/13/2021,"Las Vegas, Nevada, USA",USA
Alistair Overeem,Alexander Volkov,150,-182,150,54.94505495,2/6/2021,"Las Vegas, Nevada, USA",USA
Cory Sandhagen,Frankie Edgar,-400,300,25,300,2/6/2021,"Las Vegas, Nevada, USA",USA
Alexandre Pantoja,Manel Kape,-125,100,80,100,2/6/2021,"Las Vegas, Nevada, USA",USA
Diego Ferreira,Beneil Dariush,-125,105,80,105,2/6/2021,"Las Vegas, Nevada, USA",USA
Michael Johnson,Clay Guida,-225,175,44.44444444,175,2/6/2021,"Las Vegas, Nevada, USA",USA
Mike Rodriguez,Danilo Marques,-240,188,41.66666667,188,2/6/2021,"Las Vegas, Nevada, USA",USA
Molly McCann,Lara Procopio,-177,140,56.49717514,140,2/6/2021,"Las Vegas, Nevada, USA",USA
SeungWoo Choi,Youssef Zalal,175,-230,175,43.47826087,2/6/2021,"Las Vegas, Nevada, USA",USA
Dustin Poirier,Conor McGregor,250,-305,250,32.78688525,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Dan Hooker,Michael Chandler,-134,105,74.62686567,105,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Jessica Eye,Joanne Calderwood,-105,-117,95.23809524,85.47008547,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Andrew Sanchez,Makhmud Muradov,115,-143,115,69.93006993,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Marina Rodriguez,Amanda Ribas,250,-335,250,29.85074627,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Brad Tavares,Antonio Carlos Junior,-134,105,74.62686567,105,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Julianna Pena,Sara McMann,105,-130,105,76.92307692,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Khalil Rountree Jr.,Marcin Prachnio,-335,250,29.85074627,250,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Nik Lentz,Movsar Evloev,390,-560,390,17.85714286,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Amir Albazi,Zhalgas Zhumagulov,-106,-118,94.33962264,84.74576271,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Michael Chiesa,Neil Magny,120,-148,120,67.56756757,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Warlley Alves,Mounir Lazzez,185,-230,185,43.47826087,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Ike Villanueva,Vinicius Moreira,-134,110,74.62686567,110,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Roxanne Modafferi,Viviane Araujo,260,-335,260,29.85074627,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Matt Schnell,Tyson Nam,105,-130,105,76.92307692,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Lerone Murphy,Douglas Silva de Andrade,-305,240,32.78688525,240,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Omari Akhmedov,Tom Breese,128,-159,128,62.89308176,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Ricky Simon,Gaetano Pirrello,-400,300,25,300,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Su Mudaerji,Zarrukh Adashev,-400,300,25,300,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Dalcha Lungiambula,Markus Perez,-143,115,69.93006993,115,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Francisco Figueiredo,Jerome Rivera,-155,125,64.51612903,125,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Mike Davis,Mason Jones,-175,135,57.14285714,135,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Umar Nurmagomedov,Sergey Morozov,-530,375,18.86792453,375,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Victoria Leonardo,Manon Fiorot,170,-215,170,46.51162791,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Max Holloway,Calvin Kattar,-162,138,61.72839506,138,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Carlos Condit,Matt Brown,-177,145,56.49717514,145,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Santiago Ponzinibbio,Li Jingliang,-305,240,32.78688525,240,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Joaquin Buckley,Alessio Di Chirico,-278,215,35.97122302,215,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Punahele Soriano,Dusko Todorovic,130,-159,130,62.89308176,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Wu Yanan,Joselyne Edwards,-110,-110,90.90909091,90.90909091,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Carlos Felipe,Justin Tafa,-190,155,52.63157895,155,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
David Zawada,Ramazan Emeev,210,-275,210,36.36363636,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Sarah Moras,Vanessa Melo,-230,180,43.47826087,180,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Jacob Kilburn,Austin Lingo,180,-230,180,43.47826087,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Stephen Thompson,Geoff Neal,-103,-117,97.08737864,85.47008547,12/19/2020,"Las Vegas, Nevada, USA",USA
Jose Aldo,Marlon Vera,-140,120,71.42857143,120,12/19/2020,"Las Vegas, Nevada, USA",USA
Michel Pereira,Khaos Williams,105,-125,105,80,12/19/2020,"Las Vegas, Nevada, USA",USA
Marlon Moraes,Rob Font,-170,150,58.82352941,150,12/19/2020,"Las Vegas, Nevada, USA",USA
Marcin Tybura,Greg Hardy,-110,-110,90.90909091,90.90909091,12/19/2020,"Las Vegas, Nevada, USA",USA
Anthony Pettis,Alex Morono,-210,175,47.61904762,175,12/19/2020,"Las Vegas, Nevada, USA",USA
Sijara Eubanks,Pannie Kianzad,-140,120,71.42857143,120,12/19/2020,"Las Vegas, Nevada, USA",USA
Deron Winn,Antonio Arroyo,160,-185,160,54.05405405,12/19/2020,"Las Vegas, Nevada, USA",USA
Gillian Robertson,Taila Santos,-145,125,68.96551724,125,12/19/2020,"Las Vegas, Nevada, USA",USA
Tafon Nchukwi,Jamie Pickett,-335,275,29.85074627,275,12/19/2020,"Las Vegas, Nevada, USA",USA
Jimmy Flick,Cody Durden,-157,137,63.69426752,137,12/19/2020,"Las Vegas, Nevada, USA",USA
Christos Giagos,Carlton Minus,-345,285,28.98550725,285,12/19/2020,"Las Vegas, Nevada, USA",USA
Tony Ferguson,Charles Oliveira,-185,160,54.05405405,160,12/12/2020,"Las Vegas, Nevada, USA",USA
Mackenzie Dern,Virna Jandiroba,-160,140,62.5,140,12/12/2020,"Las Vegas, Nevada, USA",USA
Kevin Holland,Jacare Souza,-135,115,74.07407407,115,12/12/2020,"Las Vegas, Nevada, USA",USA
Junior Dos Santos,Ciryl Gane,325,-400,325,25,12/12/2020,"Las Vegas, Nevada, USA",USA
Cub Swanson,Daniel Pineda,132,-152,132,65.78947368,12/12/2020,"Las Vegas, Nevada, USA",USA
Renato Moicano,Rafael Fiziev,120,-140,120,71.42857143,12/12/2020,"Las Vegas, Nevada, USA",USA
Gavin Tucker,Billy Quarantillo,165,-190,165,52.63157895,12/12/2020,"Las Vegas, Nevada, USA",USA
Tecia Torres,Sam Hughes,-550,425,18.18181818,425,12/12/2020,"Las Vegas, Nevada, USA",USA
Chase Hooper,Peter Barrett,-310,255,32.25806452,255,12/12/2020,"Las Vegas, Nevada, USA",USA
Jack Hermansson,Marvin Vettori,110,-134,110,74.62686567,12/5/2020,"Las Vegas, Nevada, USA",USA
Ovince Saint Preux,Jamahal Hill,140,-177,140,56.49717514,12/5/2020,"Las Vegas, Nevada, USA",USA
Gabriel Benitez,Justin Jaynes,-215,170,46.51162791,170,12/5/2020,"Las Vegas, Nevada, USA",USA
Roman Dolidze,John Allan,-200,160,50,160,12/5/2020,"Las Vegas, Nevada, USA",USA
Louis Smolka,Jose Quinonez,-139,112,71.94244604,112,12/5/2020,"Las Vegas, Nevada, USA",USA
Matt Wiman,Jordan Leavitt,310,-420,310,23.80952381,12/5/2020,"Las Vegas, Nevada, USA",USA
Ilia Topuria,Damon Jackson,-275,210,36.36363636,210,12/5/2020,"Las Vegas, Nevada, USA",USA
Gian Villante,Jake Collier,-200,160,50,160,12/5/2020,"Las Vegas, Nevada, USA",USA
Anthony Smith,Devin Clark,-139,115,71.94244604,115,11/28/2020,"Las Vegas, Nevada, USA",USA
Miguel Baeza,Takashi Sato,-175,140,57.14285714,140,11/28/2020,"Las Vegas, Nevada, USA",USA
Josh Parisian,Parker Porter,-200,160,50,160,11/28/2020,"Las Vegas, Nevada, USA",USA
Spike Carlyle,Bill Algeo,-177,140,56.49717514,140,11/28/2020,"Las Vegas, Nevada, USA",USA
Ashlee Evans-Smith,Norma Dumont,-137,110,72.99270073,110,11/28/2020,"Las Vegas, Nevada, USA",USA
Jonathan Pearce,Kai Kamaka,245,-335,245,29.85074627,11/28/2020,"Las Vegas, Nevada, USA",USA
Martin Day,Anderson Dos Santos,-167,135,59.88023952,135,11/28/2020,"Las Vegas, Nevada, USA",USA
Gina Mazany,Rachael Ostovich,-200,160,50,160,11/28/2020,"Las Vegas, Nevada, USA",USA
Su Mudaerji,Malcolm Gordon,-335,250,29.85074627,250,11/28/2020,"Las Vegas, Nevada, USA",USA
Luke Sanders,Nate Maness,-155,125,64.51612903,125,11/28/2020,"Las Vegas, Nevada, USA",USA
Deiveson Figueiredo,Alex Perez,-286,225,34.96503497,225,11/21/2020,"Las Vegas, Nevada, USA",USA
Valentina Shevchenko,Jennifer Maia,-1667,850,5.99880024,850,11/21/2020,"Las Vegas, Nevada, USA",USA
Mike Perry,Tim Means,-150,120,66.66666667,120,11/21/2020,"Las Vegas, Nevada, USA",USA
Katlyn Chookagian,Cynthia Calvillo,205,-265,205,37.73584906,11/21/2020,"Las Vegas, Nevada, USA",USA
Mauricio Rua,Paul Craig,150,-190,150,52.63157895,11/21/2020,"Las Vegas, Nevada, USA",USA
Brandon Moreno,Brandon Royval,-190,150,52.63157895,150,11/21/2020,"Las Vegas, Nevada, USA",USA
Joaquin Buckley,Jordan Wright,-265,205,37.73584906,205,11/21/2020,"Las Vegas, Nevada, USA",USA
Antonina Shevchenko,Ariane Lipski,-167,130,59.88023952,130,11/21/2020,"Las Vegas, Nevada, USA",USA
Daniel Rodriguez,Nicolas Dalby,-335,250,29.85074627,250,11/21/2020,"Las Vegas, Nevada, USA",USA
Alan Jouban,Jared Gooden,-150,120,66.66666667,120,11/21/2020,"Las Vegas, Nevada, USA",USA
Kyle Daukaus,Dustin Stoltzfus,-315,230,31.74603175,230,11/21/2020,"Las Vegas, Nevada, USA",USA
Louis Cosce,Sasha Palatnikov,-455,325,21.97802198,325,11/21/2020,"Las Vegas, Nevada, USA",USA
Paul Felder,Rafael Dos Anjos,165,-200,165,50,11/14/2020,"Las Vegas, Nevada, USA",USA
Abdul Razak Alhassan,Khaos Williams,-240,185,41.66666667,185,11/14/2020,"Las Vegas, Nevada, USA",USA
Kay Hansen,Cory McKenna,-230,180,43.47826087,180,11/14/2020,"Las Vegas, Nevada, USA",USA
Brendan Allen,Sean Strickland,-118,-106,84.74576271,94.33962264,11/14/2020,"Las Vegas, Nevada, USA",USA
Ashley Yoder,Miranda Granger,135,-167,135,59.88023952,11/14/2020,"Las Vegas, Nevada, USA",USA
Alex Morono,Rhys McKee,-177,140,56.49717514,140,11/14/2020,"Las Vegas, Nevada, USA",USA
Randa Markos,Kanako Murata,155,-200,155,50,11/14/2020,"Las Vegas, Nevada, USA",USA
Geraldo de Freitas,Tony Gravely,117,-148,117,67.56756757,11/14/2020,"Las Vegas, Nevada, USA",USA
Don'Tale Mayes,Roque Martinez,-265,205,37.73584906,205,11/14/2020,"Las Vegas, Nevada, USA",USA
Thiago Santos,Glover Teixeira,-240,190,41.66666667,190,11/7/2020,"Las Vegas, Nevada, USA",USA
Andrei Arlovski,Tanner Boser,235,-305,235,32.78688525,11/7/2020,"Las Vegas, Nevada, USA",USA
Raoni Barcelos,Khalid Taha,-400,295,25,295,11/7/2020,"Las Vegas, Nevada, USA",USA
Claudia Gadelha,Yan Xiaonan,125,-155,125,64.51612903,11/7/2020,"Las Vegas, Nevada, USA",USA
Trevin Giles,Bevon Lewis,100,-125,100,80,11/7/2020,"Las Vegas, Nevada, USA",USA
Giga Chikadze,Jamey Simmons,-835,525,11.9760479,525,11/7/2020,"Las Vegas, Nevada, USA",USA
Alexandr Romanov,Marcos Rogerio de Lima,-455,330,21.97802198,330,11/7/2020,"Las Vegas, Nevada, USA",USA
Darren Elkins,Eduardo Garagorri,-240,185,41.66666667,185,11/7/2020,"Las Vegas, Nevada, USA",USA
Max Griffin,Ramiz Brahimaj,-143,115,69.93006993,115,11/7/2020,"Las Vegas, Nevada, USA",USA
Gustavo Lopez,Anthony Birchak,-134,108,74.62686567,108,11/7/2020,"Las Vegas, Nevada, USA",USA
Uriah Hall,Anderson Silva,-230,185,43.47826087,185,10/31/2020,"Las Vegas, Nevada, USA",USA
Bryce Mitchell,Andre Fili,-150,120,66.66666667,120,10/31/2020,"Las Vegas, Nevada, USA",USA
Maurice Greene,Greg Hardy,250,-335,250,29.85074627,10/31/2020,"Las Vegas, Nevada, USA",USA
Kevin Holland,Charlie Ontiveros,-770,500,13.98601399,475,10/31/2020,"Las Vegas, Nevada, USA",USA
Bobby Green,Thiago Moises,-335,245,29.85074627,245,10/31/2020,"Las Vegas, Nevada, USA",USA
Chris Gruetzemacher,Alexander Hernandez,315,-435,315,22.98850575,10/31/2020,"Las Vegas, Nevada, USA",USA
Adrian Yanez,Victor Rodriguez,-500,356,20,356,10/31/2020,"Las Vegas, Nevada, USA",USA
Sean Strickland,Jack Marshman,-375,277,26.66666667,277,10/31/2020,"Las Vegas, Nevada, USA",USA
Cole Williams,Jason Witt,119,-148,119,67.56756757,10/31/2020,"Las Vegas, Nevada, USA",USA
Dustin Jacoby,Justin Ledet,-400,296,25,296,10/31/2020,"Las Vegas, Nevada, USA",USA
Miles Johns,Kevin Natividad,-165,131,60.60606061,131,10/31/2020,"Las Vegas, Nevada, USA",USA
Khabib Nurmagomedov,Justin Gaethje,-315,255,31.74603175,255,10/24/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Robert Whittaker,Jared Cannonier,-110,-110,90.90909091,90.90909091,10/24/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Alexander Volkov,Walt Harris,-190,150,52.63157895,150,10/24/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Jacob Malkoun,Phillip Hawes,195,-250,195,40,10/24/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Lauren Murphy,Liliya Shakirova,-215,170,46.51162791,170,10/24/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Magomed Ankalaev,Ion Cutelaba,-335,250,29.85074627,250,10/24/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Stefan Struve,Tai Tuivasa,-112,-112,89.28571429,89.28571429,10/24/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Nathaniel Wood,Casey Kenney,140,-177,140,56.49717514,10/24/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Alex Oliveira,Shavkat Rakhmonov,-112,-112,89.28571429,89.28571429,10/24/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Liana Jojua,Miranda Maverick,295,-400,295,25,10/24/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Joel Alvarez,Alexander Yakovlev,-175,138,57.14285714,138,10/24/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Brian Ortega,Chan Sung Jung,160,-200,160,50,10/17/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Katlyn Chookagian,Jessica Andrade,130,-159,130,62.89308176,10/17/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Jimmy Crute,Modestas Bukauskas,-335,250,29.85074627,250,10/17/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Claudio Silva,James Krause,120,-150,120,66.66666667,10/17/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Thomas Almeida,Jonathan Martinez,-139,110,71.94244604,110,10/17/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Mateusz Gamrot,Guram Kutateladze,-335,245,29.85074627,245,10/17/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Gillian Robertson,Poliana Botelho,-215,169,46.51162791,169,10/17/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Junyong Park,John Phillips,-278,215,35.97122302,215,10/17/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Jamie Mullarkey,Fares Ziam,-137,110,72.99270073,110,10/17/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Gadzhimurad Antigulov,Maxim Grishin,277,-375,277,26.66666667,10/17/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Said Nurmagomedov,Mark Striegl,-435,317,22.98850575,317,10/17/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Marlon Moraes,Cory Sandhagen,115,-141,115,70.92198582,10/10/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Edson Barboza,Makwan Amirkhani,-286,225,34.96503497,225,10/10/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Ben Rothwell,Marcin Tybura,-159,130,62.89308176,130,10/10/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Markus Perez,Dricus Du Plessis,133,-167,133,59.88023952,10/10/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Tom Aspinall,Alan Baudot,-560,400,17.85714286,400,10/10/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Youssef Zalal,Ilia Topuria,-162,130,61.72839506,130,10/10/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Tom Breese,KB Bhullar,-275,210,36.36363636,210,10/10/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Chris Daukaus,Rodrigo Nascimento,205,-265,205,37.73584906,10/10/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Impa Kasanganay,Joaquin Buckley,-265,200,37.73584906,200,10/10/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Ali AlQaisi,Tony Kelley,190,-245,190,40.81632653,10/10/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Giga Chikadze,Omar Morales,136,-175,136,57.14285714,10/10/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Tracy Cortez,Stephanie Egger,-205,160,48.7804878,160,10/10/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Bruno Silva,Tagir Ulanbekov,321,-455,321,21.97802198,10/10/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Holly Holm,Irene Aldana,-125,103,80,103,10/3/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Yorgan De Castro,Carlos Felipe,-265,205,37.73584906,205,10/3/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Germaine de Randamie,Julianna Pena,-150,122,66.66666667,122,10/3/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Kyler Phillips,Cameron Else,-480,342,20.83333333,342,10/3/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Dequan Townsend,Dusko Todorovic,245,-335,245,29.85074627,10/3/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Carlos Condit,Court McGee,111,-137,111,72.99270073,10/3/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Jordan Williams,Nassourdine Imavov,-125,105,80,105,10/3/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Loma Lookboonmee,Jinh Yu Frey,-150,120,66.66666667,120,10/3/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Casey Kenney,Heili Alateng,-335,246,29.85074627,246,10/3/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Luigi Vendramini,Jessin Ayari,-109,-114,91.74311927,87.71929825,10/3/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Israel Adesanya,Paulo Costa,-186,151,53.76344086,151,9/26/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Dominick Reyes,Jan Blachowicz,-265,215,37.73584906,215,9/26/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Kai Kara-France,Brandon Royval,-240,188,41.66666667,188,9/26/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Ketlen Vieira,Sijara Eubanks,-190,150,52.63157895,150,9/26/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Hakeem Dawodu,Zubaira Tukhugov,115,-143,115,69.93006993,9/26/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Brad Riddell,Alex Da Silva,-335,253,29.85074627,253,9/26/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Diego Sanchez,Jake Matthews,470,-715,470,13.98601399,9/26/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Shane Young,Ludovit Klein,108,-129,108,77.51937984,9/26/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
William Knight,Aleksa Camur,134,-167,134,59.88023952,9/26/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Juan Espino,Jeff Hughes,-305,233,32.78688525,233,9/26/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Khadis Ibragimov,Danilo Marques,-182,150,54.94505495,150,9/26/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates
Colby Covington,Tyron Woodley,-335,260,29.85074627,260,9/19/2020,"Las Vegas, Nevada, USA",USA
Khamzat Chimaev,Gerald Meerschaert,-400,300,25,300,9/19/2020,"Las Vegas, Nevada, USA",USA
Johnny Walker,Ryan Spann,-125,100,80,100,9/19/2020,"Las Vegas, Nevada, USA",USA
Mackenzie Dern,Randa Markos,-177,140,56.49717514,140,9/19/2020,"Las Vegas, Nevada, USA",USA
Kevin Holland,Darren Stewart,-265,205,37.73584906,205,9/19/2020,"Las Vegas, Nevada, USA",USA
Jordan Espinosa,David Dvorak,-112,-112,89.28571429,89.28571429,9/19/2020,"Las Vegas, Nevada, USA",USA
Mirsad Bektic,Damon Jackson,-375,277,26.66666667,277,9/19/2020,"Las Vegas, Nevada, USA",USA
Mayra Bueno Silva,Mara Romero Borella,-275,210,36.36363636,210,9/19/2020,"Las Vegas, Nevada, USA",USA
Jessica-Rose Clark,Sarah Alpar,-230,180,43.47826087,180,9/19/2020,"Las Vegas, Nevada, USA",USA
Darrick Minner,TJ Laramie,245,-335,245,29.85074627,9/19/2020,"Las Vegas, Nevada, USA",USA
Journey Newson,Randy Costa,-137,110,72.99270073,110,9/19/2020,"Las Vegas, Nevada, USA",USA
Andre Ewell,Irwin Rivera,-240,187,41.66666667,187,9/19/2020,"Las Vegas, Nevada, USA",USA
Tyson Nam,Jerome Rivera,-190,150,52.63157895,150,9/19/2020,"Las Vegas, Nevada, USA",USA
Michelle Waterson,Angela Hill,105,-125,105,80,9/12/2020,"Las Vegas, Nevada, USA",USA
Ottman Azaitar,Khama Worthy,110,-137,110,72.99270073,9/12/2020,"Las Vegas, Nevada, USA",USA
Roxanne Modafferi,Andrea Lee,240,-335,240,29.85074627,9/12/2020,"Las Vegas, Nevada, USA",USA
Ed Herman,Mike Rodriguez,195,-250,195,40,9/12/2020,"Las Vegas, Nevada, USA",USA
Billy Quarantillo,Kyle Nelson,-250,195,40,195,9/12/2020,"Las Vegas, Nevada, USA",USA
Julia Avila,Sijara Eubanks,-305,230,32.78688525,230,9/12/2020,"Las Vegas, Nevada, USA",USA
Roosevelt Roberts,Kevin Croom,-385,286,25.97402597,286,9/12/2020,"Las Vegas, Nevada, USA",USA
Alexandr Romanov,Roque Martinez,-360,275,27.77777778,275,9/12/2020,"Las Vegas, Nevada, USA",USA
Bobby Green,Alan Patrick,-295,227,33.89830508,227,9/12/2020,"Las Vegas, Nevada, USA",USA
Brok Weaver,Jalin Turner,306,-420,306,23.80952381,9/12/2020,"Las Vegas, Nevada, USA",USA
Bryan Barberena,Anthony Ivy,-278,215,35.97122302,215,9/12/2020,"Las Vegas, Nevada, USA",USA
Sabina Mazo,Justine Kish,-265,200,37.73584906,200,9/12/2020,"Las Vegas, Nevada, USA",USA
Alistair Overeem,Augusto Sakai,-159,130,62.89308176,130,9/5/2020,"Las Vegas, Nevada, USA",USA
Ovince Saint Preux,Alonzo Menifield,110,-134,110,74.62686567,9/5/2020,"Las Vegas, Nevada, USA",USA
